,Southeast,main missing months,missing days,#hours,ave call per day,avg call per hour,Average SST,Min SST,Avearge chl-a
2002,35333,,2,8530,97.33608815,4.142203986,28.02417,25.645,0.1402297
2003,36852,,0,8628.3,100.9643836,4.271061507,28.3348,26.58083,0.1160216
2004,28359,mid July to mid Sep,66,6977.5,94.53,4.064349695,27.78582,25.24917,0.1217898
2005,36080,,7,8575.3,100.7821229,4.207432976,28.15589,25.98681,0.1474791
2006,20349,mid Oct till end,87,6743.9,73.19784173,3.017393496,28.26722,26.25194,0.1435242
2007,10375,Jan- Oct,293,1679.1,144.0972222,6.178905366,28.27578,26.16861,0.1387048
2008,6178,,1,8626.2,16.9260274,0.716190211,28.30504,27.45653,0.1171198
2009,51297,,1,8736,140.9258242,5.871909341,27.95865,25.96111,0.1433125
2010,34344,,13,8519.2,97.56818182,4.031364447,28.12643,26.44778,0.1441589
2011,46129,,1,8683.3,126.728022,5.312381238,28.0733,26.34667,0.1410899
2012,54851,,0,8783.6,149.8661202,6.244706043,28.41419,27.36375,0.1044818
2013,68082,,0,8760,186.5260274,7.771917808,28.28843,26.64292,0.1254714
2014,50401,,0,8745.7,138.0849315,5.762946362,28.18707,25.66292,0.123959
2015,84379,,0,8725.2,231.1753425,9.67072388,28.78525,26.89597,0.1042261
2016,56178,,5,8634.4,155.6177285,6.50630038,28.56888,26.51444,0.128537
2017,90989,,0,8750.7,249.2849315,10.39791102,28.15846,26.51444,0.1378828
2018,26949,Aug till end,189,4170,153.1193182,6.462589928,28.14405,26.255,0.125885